,PageRank,HubScore,AuthorityScore,Betweeness,Colony,Day,Role
Ant242,0.00725304761550862,0.010481393573401682,0.01048139357267913,0.0011148453915264445,3,17,N
Ant245,0.0012711591613887192,0.0002450618464739285,0.0002450618464760626,4.246537327516538e-05,3,17,C
Ant244,0.005653667914890553,0.004752940555040428,0.004752940555119998,0.0013364690381651061,3,17,N
Ant51,0.006992847100037642,0.00719655299760728,0.007196552997575159,0.0031776418151577123,3,17,F
Ant50,0.005507070655799656,0.004138259146560479,0.0041382591468473616,0.0013860130246191003,3,17,F
Ant53,0.010255784461487425,0.01612208644248579,0.016122086441332204,0.0019915345207946944,3,17,N
Ant52,0.008010176231788626,0.008191790098843755,0.008191790098907878,0.0031883889676372853,3,17,C
Ant54,0.005234248469153427,0.003523204340331037,0.0035232043405752874,0.0035577293173957203,3,17,F
Ant57,0.00575647694222738,0.0032135898667413477,0.0032135898672689903,0.001961309995251754,3,17,F
Ant59,0.008429608603488337,0.007150885956209546,0.007150885956372502,0.002987277992905147,3,17,C
Ant390,0.004809507177997778,0.004876539584166218,0.004876539584013179,0.0014828622087707719,3,17,N
Ant308,0.00651363471702052,0.00776382186447258,0.007763821864218649,0.0032378782701234215,3,17,N
Ant35,0.006202469308921185,0.009867906008637505,0.00986790600792105,0.00040589104454894273,3,17,N
Ant397,0.006862002144594959,0.00761606948556031,0.0076160694854197405,0.0023192183348365483,3,17,C
Ant673,0.00533663004415414,0.003965268295382551,0.003965268295565378,0.002587920764075095,3,17,F
Ant278,0.005941019331417829,0.005600835138600984,0.005600835138624062,0.002947080735846289,3,17,C
Ant301,0.007648537993918207,0.009066325658281077,0.009066325658052175,0.002969454210487056,3,17,N
Ant476,0.005580541011338769,0.004445766012018604,0.004445766012279446,0.00257636912392968,3,17,F
Ant475,0.007554909574006193,0.005932738118376628,0.005932738118815897,0.0035756884609979226,3,17,F
Ant380,0.010987082540767398,0.0066658737803160775,0.006665873781620785,0.001988972256640348,3,17,F
Ant229,0.009373017635356067,0.011850654936453955,0.011850654936113031,0.003972486792888452,3,17,N
Ant576,0.00884550365244902,0.013451788297711226,0.013451788296752653,0.0011727850613648821,3,17,N
Ant115,0.012809947836809102,0.016030991693192356,0.01603099169248926,0.0036256715670195984,3,17,N
Ant44,0.004587747140498967,0.0024702130533670263,0.002470213053811609,0.0011328809645990412,3,17,F
Ant48,0.00793113309137301,0.005286338381847204,0.005286338382442953,0.005030065265545062,3,17,F
Ant580,0.006117028772070264,0.009143362521962897,0.009143362521264362,0.0005838484005390927,3,17,N
Ant398,0.007320378034553881,0.011572899711377701,0.011572899710560212,0.0009943903782796916,3,17,N
Ant663,0.011229776212335556,0.012426654863310497,0.012426654863005199,0.004006020214884603,3,17,
Ant740,0.009080726405550443,0.0096878564496375,0.009687856449712427,0.003999603118670454,3,17,C
Ant954,0.010299987754063199,0.012448976149268362,0.012448976148893889,0.003318241808374062,3,17,
Ant260,0.006762589428938064,0.0038178257809671715,0.0038178257816214724,0.0016589725882310525,3,17,F
Ant264,0.006514015088774391,0.009870489612518464,0.009870489611768531,0.0003783334574915166,3,17,N
Ant159,0.007406636882711024,0.01013341453418801,0.010133414533546001,0.0017974708800710072,3,17,N
Ant158,0.00859223376265209,0.009030303665827402,0.009030303665626167,0.0028851698873010863,3,17,N
Ant220,0.007174418313385048,0.009134808755759206,0.00913480875538823,0.0025611221723784573,3,17,N
Ant391,0.003341066349651105,0.0013531689898866818,0.0013531689902037483,4.6941192498517164e-05,3,17,F
Ant509,0.013580565598671514,0.0066672262796992135,0.006667226281263157,0.0013012041228922953,3,17,F
Ant9,0.007379042805314291,0.008550269927568544,0.008550269927355672,0.0025305593352861473,3,17,N
Ant395,0.004901301720791023,0.002965997234268018,0.002965997234577893,0.0036053008507181917,3,17,F
