,Ant,Betweenness,Colony,Day,group_period1,group_period2,group_period3,group_period4
238,Ant198,0.003266109616817862,1,03,F, , , 
239,Ant518,0.0068486545376669206,1,03,F,F,F,F
240,Ant318,0.000992078036804149,1,03,F, , , 
241,Ant492,0.00688865156819428,1,03,F,F, , 
242,Ant324,2.9139613344777003e-05,1,03,F,F, , 
243,Ant552,0.0025339451083350485,1,03,N,N, , 
244,Ant252,3.4885154804604176e-05,1,03,F, , , 
245,Ant124,0.0039785252874345286,1,03,C, , , 
246,Ant257,0.0026434439438819185,1,03,F,F, , 
247,Ant255,0.001300766701689895,1,03,F,F,F,F
248,Ant26,0.002606792681825901,1,03,F,F,F,F
249,Ant27,0.0022859214220485365,1,03,C,F, , 
250,Ant23,0.006892208604906104,1,03,F,F,F,F
251,Ant29,0.002637208774232906,1,03,N,C,C,C
252,Ant482,0.0024611386742127155,1,03,C,N,N,N
253,Ant137,0.0011066440738277145,1,03,N,C, , 
254,Ant332,0.001187050145554832,1,03,F,F, , 
255,Ant131,0.005016355808182645,1,03,F, , , 
256,Ant127,0.0008684283344413626,1,03,N,C,F,F
257,Ant139,0.0004408752970828566,1,03,N,N,N,N
258,Ant560,0.003291699339401839,1,03,F,F,F,F
259,Ant564,0.004040623559092743,1,03,C,C,F,F
260,Ant243,0.002393754910300554,1,03,C,C,F,F
261,Ant242,0.0013320828431684804,1,03,N,N,C,C
262,Ant50,0.0011454566458520708,1,03,N,N, , 
263,Ant52,0.0007777795974314622,1,03,N,N, , 
264,Ant55,0.0020916123614104914,1,03,C,C,F,F
265,Ant142,0.003556800745176605,1,03,F,F, , 
266,Ant140,0.0024193442585430003,1,03,C, , , 
267,Ant308,0.003192864671298231,1,03,F,F, , 
268,Ant148,0.001080061078750013,1,03,F,F, , 
269,Ant149,0.0019893677146896192,1,03,F,F, , 
270,Ant387,0.00312176473073947,1,03,C,F,F,F
271,Ant380,0.0011821833043727265,1,03,N,N,N,N
272,Ant462,0.0037107444177296176,1,03,F,F, , 
273,Ant42,0.001686815426308735,1,03,C,C,F,F
274,Ant43,0.003102930932118167,1,03,F,F, , 
275,Ant44,0.010756268475858076,1,03,F,F,F,F
276,Ant501,0.002873630703873292,1,03,C,C,F,F
277,Ant507,0.0032248687692728946,1,03,F,F, , 
278,Ant263,0.0019632663171071135,1,03,F, , , 
279,Ant153,0.0020500435328965824,1,03,C,C,F,F
280,Ant260,0.003914521931609464,1,03,F,F, , 
281,Ant156,0.0005969343295123199,1,03,N,N,N,N
282,Ant159,0.0009863869033534742,1,03,N,N, , 
283,Ant158,0.003732410560314519,1,03,C,F, , 
284,Ant311,0.0048423318961657805,1,03,C,F, , 
285,Ant268,0.0020142255078994817,1,03,C,N,C,C
286,Ant390,0.0009844452957409548,1,03,N,N,N,N
287,Ant9,2.6489313075429114e-05,1,03,F, , , 
288,Ant395,0.0006741516553426125,1,03,C,C, , 
289,Ant394,0.0024340713079252932,1,03,N,C,F,F
290,Ant4,0.003864413890166124,1,03,C,F,F,F
291,Ant7,0.0018508834136587435,1,03,C,C, , 
292,Ant6,0.003042405594891459,1,03,F,F, , 
293,Ant0,0.00039371760928943425,1,03,N,N,N,N
294,Ant76,0.005775009830106632,1,03,F,F,F,F
295,Ant73,0.0019857032880075255,1,03,F,F, , 
296,Ant593,0.0018104942322573054,1,03,N,C,F,F
297,Ant19,0.003863564422559329,1,03,F,F,F,F
298,Ant614,0.002792549415764371,1,03,,,,
299,Ant599,0.00460338228740761,1,03,,,,
300,Ant14,0.0031584637120355566,1,03,F, , , 
301,Ant13,0.002390725490919296,1,03,C,C, , 
302,Ant97,0.003933140438478555,1,03,F,F,F,F
303,Ant475,0.00309427991928693,1,03,F,F, , 
304,Ant91,0.004030915590053224,1,03,F, , , 
305,Ant169,0.0016530954209336153,1,03,N,N, , 
306,Ant298,0.002911466924785267,1,03,C,F, , 
307,Ant294,0.0007846544832628825,1,03,F,F,F,F
308,Ant98,0.0035576625557681442,1,03,F,F, , 
309,Ant217,0.0024550629341737722,1,03,F,F, , 
310,Ant215,0.0010972804289860253,1,03,C,C,C,C
311,Ant458,0.003162518680364589,1,03,C,C, , 
312,Ant218,0.0014179421142979213,1,03,N,C,C,C
313,Ant219,0.00045984264282652077,1,03,Q,Q,Q,Q
314,Ant400,0.0013383329202889312,1,03,C,C,F,F
315,Ant60,0.0025715940222176318,1,03,C,F,F,F
316,Ant63,0.000730235217118169,1,03,N,N,F,F
317,Ant64,0.005119727975588971,1,03,F,F,F,F
318,Ant178,0.0012424432656641595,1,03,N,N,N,N
319,Ant289,0.002636406229505161,1,03,F,F, , 
320,Ant173,0.0009874343877903787,1,03,N,N,N,N
321,Ant176,0.0024310478449932013,1,03,F,F,F,F
322,Ant207,0.0027665061521683436,1,03,C,C,C,C
323,Ant202,0.0031221341332302015,1,03,F,C,F,F
324,Ant209,0.004072276182623198,1,03,F,F, , 
325,Ant38,0.006537173369828463,1,03,F,F,F,F
326,Ant32,0.0014218566381124257,1,03,F,F,F,F
327,Ant30,0.00425767281887072,1,03,F,F,C,C
328,Ant530,0.0009570849429410283,1,03,F,F, , 
329,Ant538,0.0007574969188142977,1,03,N,N,N,N
330,Ant232,0.0023490782200567724,1,03,F,F, , 
331,Ant109,0.002358529104611406,1,03,C,F,F,F
332,Ant238,0.00180876919546025,1,03,F,F, , 
333,Ant342,0.002656538446724778,1,03,C,C, , 
334,Ant437,0.0018762368798587884,1,03,N,C, , 
335,Ant100,0.004863638252216635,1,03,F,F, , 
336,Ant347,0.003953309988407725,1,03,F,F,F,F
337,Ant186,0.002328269682159546,1,03,C,C, , 
338,Ant527,0.001736840187321634,1,03,F, , , 
339,Ant621,0.0093016433838345,1,04,,,,
340,Ant620,0.00347443910350078,1,04,N,C, , 
341,Ant356,0.006668110566976596,1,04,F,F,F,F
342,Ant353,0.0026139478466805687,1,04,F, , , 
343,Ant540,0.003215911396154544,1,04,C,C,N,N
344,Ant115,0.0019269260547235168,1,04,C,F,F,F
345,Ant117,0.005479833139153669,1,04,C,C,F,F
346,Ant113,0.0032205921931254375,1,04,C,F, , 
347,Ant195,5.651312569902556e-05,1,04,F, , , 
348,Ant196,0.007812839345643858,1,04,F, , , 
349,Ant191,0.006371541035905189,1,04,N,N,N,N
350,Ant190,0.002274806783836492,1,04,N,C,C,C
351,Ant198,0.003876776132239107,1,04,F, , , 
352,Ant518,0.00916584226842092,1,04,F,F,F,F
353,Ant318,0.0005888673250609525,1,04,F, , , 
354,Ant492,0.004316380256539521,1,04,F,F, , 
355,Ant324,4.022798435287884e-05,1,04,F,F, , 
356,Ant552,0.002109085838974942,1,04,N,N, , 
357,Ant252,8.696555470616255e-05,1,04,F, , , 
358,Ant124,0.0101323253321661,1,04,C, , , 
359,Ant257,0.0032122824804681938,1,04,F,F, , 
360,Ant127,0.0029174710097141644,1,04,N,C,F,F
361,Ant26,0.002348543359810733,1,04,F,F,F,F
362,Ant27,0.005224663610169211,1,04,C,F, , 
363,Ant23,0.008663580768088871,1,04,F,F,F,F
364,Ant29,0.001757610747792533,1,04,N,C,C,C
365,Ant482,0.003346688010262886,1,04,C,N,N,N
366,Ant137,0.0015279719210291396,1,04,N,C, , 
367,Ant400,0.003339421522491704,1,04,C,C,F,F
368,Ant131,0.0018968508987590009,1,04,F, , , 
369,Ant255,0.0017616180951925073,1,04,F,F,F,F
370,Ant139,0.0008035243036650671,1,04,N,N,N,N
371,Ant560,0.0052389049763312,1,04,F,F,F,F
372,Ant564,0.003373630766665912,1,04,C,C,F,F
373,Ant243,0.0023296413614630187,1,04,C,C,F,F
374,Ant242,0.001468874859628062,1,04,N,N,C,C
375,Ant50,0.00110371166360957,1,04,N,N, , 
376,Ant52,0.0016043394871641805,1,04,N,N, , 
377,Ant55,0.0009344982518425359,1,04,C,C,F,F
378,Ant142,0.004034814869094172,1,04,F,F, , 
379,Ant140,0.004988714276050774,1,04,C, , , 
380,Ant308,0.0039018603387581258,1,04,F,F, , 
381,Ant148,0.00493980002701382,1,04,F,F, , 
382,Ant149,0.002669617011697052,1,04,F,F, , 
383,Ant387,0.004630881838906474,1,04,C,F,F,F
384,Ant380,0.0026357276479850467,1,04,N,N,N,N
385,Ant394,0.002444180127261882,1,04,N,C,F,F
386,Ant42,0.0038867552067249683,1,04,C,C,F,F
387,Ant43,0.002646844497662,1,04,F,F, , 
388,Ant44,0.008782868289253513,1,04,F,F,F,F
389,Ant501,0.0038001968779324386,1,04,C,C,F,F
390,Ant0,0.0005006278190220759,1,04,N,N,N,N
391,Ant263,0.0009968552813870335,1,04,F, , , 
392,Ant153,0.0017428915392200368,1,04,C,C,F,F
393,Ant260,0.0041140435906341834,1,04,F,F, , 
394,Ant156,0.002981035002439153,1,04,N,N,N,N
395,Ant159,0.0005800265039036008,1,04,N,N, , 
396,Ant158,0.005129602437798665,1,04,C,F, , 
397,Ant311,0.005978404616361466,1,04,C,F, , 
398,Ant268,0.002777083430231527,1,04,C,N,C,C
399,Ant390,0.0009897716238894965,1,04,N,N,N,N
400,Ant9,7.240049617819987e-05,1,04,F, , , 
401,Ant395,0.0020093242292297513,1,04,C,C, , 
402,Ant462,0.0019055719024113238,1,04,F,F, , 
403,Ant4,0.002769915548296413,1,04,C,F,F,F
404,Ant7,0.0010405640280913059,1,04,C,C, , 
405,Ant6,0.002907495136198056,1,04,F,F, , 
406,Ant507,0.002709802904771342,1,04,F,F, , 
407,Ant76,0.006303201846385211,1,04,F,F,F,F
408,Ant73,0.002039754422914926,1,04,F,F, , 
409,Ant593,0.0017694809182497622,1,04,N,C,F,F
410,Ant19,0.00524611332347636,1,04,F,F,F,F
411,Ant614,0.0016050932228951953,1,04,,,,
412,Ant599,0.00399358316163578,1,04,,,,
413,Ant14,0.0013978236370066866,1,04,F, , , 
414,Ant13,0.002283176921367482,1,04,C,C, , 
415,Ant97,0.0051315480123481335,1,04,F,F,F,F
416,Ant475,0.002986011655748482,1,04,F,F, , 
417,Ant91,0.0013172283729459592,1,04,F, , , 
418,Ant169,0.001320373604937506,1,04,N,N, , 
419,Ant298,0.0030844980730359273,1,04,C,F, , 
420,Ant294,0.0021861359912431423,1,04,F,F,F,F
421,Ant98,0.004420061278717944,1,04,F,F, , 
422,Ant217,0.00384303552394013,1,04,F,F, , 
423,Ant215,0.0017022050316913425,1,04,C,C,C,C
424,Ant458,0.0018900143213568595,1,04,C,C, , 
425,Ant218,0.000869944493159381,1,04,N,C,C,C
426,Ant219,0.0005246728347166877,1,04,Q,Q,Q,Q
427,Ant332,0.0007413746778440383,1,04,F,F, , 
428,Ant60,0.0015490766991734753,1,04,C,F,F,F
429,Ant63,0.002443759920798459,1,04,N,N,F,F
430,Ant64,0.00765295549290105,1,04,F,F,F,F
431,Ant178,0.0032740192284889556,1,04,N,N,N,N
432,Ant289,0.002901815058321578,1,04,F,F, , 
433,Ant173,0.002604149739597628,1,04,N,N,N,N
434,Ant176,0.0026620725853670445,1,04,F,F,F,F
435,Ant207,0.002217191904819634,1,04,C,C,C,C
436,Ant202,0.0043921584910793406,1,04,F,C,F,F
437,Ant209,0.0033087297872742036,1,04,F,F, , 
438,Ant38,0.007870226066109546,1,04,F,F,F,F
439,Ant32,0.002574525315844922,1,04,F,F,F,F
440,Ant30,0.006998246660877939,1,04,F,F,C,C
441,Ant530,0.0033646033372150045,1,04,F,F, , 
442,Ant538,0.0014162271434389883,1,04,N,N,N,N
443,Ant232,0.003737508142970727,1,04,F,F, , 
444,Ant109,0.0027005239735586367,1,04,C,F,F,F
445,Ant238,0.0024795191995859,1,04,F,F, , 
446,Ant342,0.004996115938331814,1,04,C,C, , 
447,Ant437,0.0015069649696270583,1,04,N,C, , 
448,Ant100,0.004667908208013334,1,04,F,F, , 
449,Ant347,0.0033982981721760192,1,04,F,F,F,F
450,Ant186,0.0014371011504061505,1,04,C,C, , 
451,Ant527,0.0010745016667685163,1,04,F, , , 
452,Ant621,0.0064637724179834564,1,05,,,,
453,Ant620,0.002120327238796887,1,05,N,C, , 
