,pagerank,hubs,auth,degcentr,between,indegcentr,outdegcentr,closecentr,evcentr,load,haratio,paratio,phratio,haprod,paprod,phprod,hadiff,padiff,phsum,hasum,pasum,ha_harmonic_mean,hasum_normed,role
AIBR,0.007700018532208779,0.00014798847636436556,0.00045672384485463175,0.175,0.020355889342378242,0.11071428571428571,0.06428571428571428,0.41965106103697225,0.04848500554425274,0.020291418249937337,0.3170793135937994,16.498018297323263,48.73784917357128,6.758986591931184e-08,3.5167820694823116e-06,1.1395140105589556e-06,-0.00030873536849026616,0.0072432946873541475,0.007848007008573145,0.0006047123212189973,0.008156742377063412,0.00022354386886995175,0.0005896483132171006,I
AIML,0.002454673013943306,5.497238815688842e-05,4.43387907684077e-07,0.07142857142857142,0.0049217981526345775,0.010714285714285714,0.060714285714285714,0.27905513529240616,0.0014668279480265873,0.005562093733831565,5.263846238675154,235.04566100979517,37.78024917317218,2.437409216527969e-11,1.0883723317008896e-09,1.349392377207306e-07,5.452900024920434e-05,0.002454229626035622,0.0025096454021001943,5.54157760645725e-05,0.00245511640185099,8.796806215211387e-07,5.4035311892145425e-05,I
AIMR,0.0010461368757740809,1.0657401528845312e-05,4.9200215222998226e-05,0.05357142857142857,0.0016721531759739995,0.007142857142857143,0.04642857142857143,0.2595001352813853,0.0008207479197229633,0.002012646609418717,0.18002301999579728,17.671166765753167,50.6422298232084,5.243464489370997e-10,5.147015944079974e-08,1.1149100739256147e-08,-3.8542813694152914e-05,0.0009969366605510827,0.0010567942773029263,5.985761675184354e-05,0.001095337090997079,1.7519790375581582e-05,5.8366501743790494e-05,I
AINL,0.0012669857496992144,2.8383282924992473e-06,5.987074575846893e-06,0.04642857142857143,0.0017312208498053907,0.014285714285714285,0.03214285714285714,0.27905513529240616,0.0014113088075477923,0.002219412389803396,0.1775389411635925,79.25063110754255,98.68775130477437,1.6993283157929167e-11,7.585538169984482e-09,3.5961214995646497e-09,-3.1487462833476455e-06,0.0012609986751233675,0.0012698240779917137,8.82540286834614e-06,0.0012729728242750612,3.850993186697135e-06,8.605552974828621e-06,I
AINR,0.0013793659960078426,3.6345540447016127e-06,2.186709715867747e-06,0.060714285714285714,0.0022315550116636697,0.014285714285714285,0.04642857142857143,0.2657925730913122,0.0012557610256856363,0.0025070626761662038,0.2982391580205795,113.18608780939734,101.16693156853664,7.947714642395434e-12,3.0162730252079413e-09,5.013380259914173e-09,1.4478443288338656e-06,0.0013771792862919748,0.0013830005500525442,5.82126376056936e-06,0.0013815527057237105,2.730580495675081e-06,5.676250072583647e-06,I
AIYL,0.003928357982335572,1.778381128295529e-05,2.9850316529753855e-05,0.07142857142857142,0.00874594635430881,0.039285714285714285,0.03214285714285714,0.3358237044817927,0.009919947364905467,0.008564794602683067,0.44626524533819395,98.57783637433597,141.39017654304058,5.308523959016235e-10,1.1726272921490202e-07,6.986117700974682e-08,-1.2066505246798564e-05,0.003898507665805818,0.003946141793618527,4.7634127812709145e-05,0.003958208298865325,2.22887421383619e-05,4.644751252911852e-05,I
AIYR,0.0031489642604277932,1.378666304706256e-05,2.617235596043472e-05,0.06428571428571428,0.0039473423749116195,0.03571428571428571,0.02857142857142857,0.3285757108598835,0.009612850540628914,0.003949454011062821,0.38113810065737486,87.05444190232251,132.3836073264031,3.6082945277429286e-10,8.241581353060326e-08,4.341370920576054e-08,-1.2385692913372158e-05,0.0031227919044673584,0.003162750923474856,3.995901900749728e-05,0.003175136616388228,1.8059975531761302e-05,3.896359860517528e-05,I
AIZL,0.004448533044249489,3.966907004227384e-05,0.0002765520753360104,0.10357142857142856,0.01230116056824812,0.049999999999999996,0.05357142857142857,0.3535898617511521,0.013096214171210707,0.012052268815738927,0.13843581483665043,15.524344184327221,89.56344542918355,1.0970563646840389e-08,1.2302510455880163e-06,1.7646916891770264e-07,-0.00023688300529373655,0.004171980968913479,0.004488202114291763,0.0003162211453782842,0.004725085119585499,6.938538935286374e-05,0.0003083437502976864,I
AIZR,0.003927772194973102,2.4872317933388355e-05,0.00015299314034421748,0.10357142857142856,0.01073238441280965,0.049999999999999996,0.05357142857142857,0.3759014305310602,0.019707292498043517,0.010470810462491282,0.15259732943890575,24.09777605780358,112.63295438163212,3.805294028268882e-09,6.00922202665635e-07,9.769279880329363e-08,-0.00012812082241082912,0.003774779054628885,0.003952644512906491,0.00017786545827760584,0.00408076533531732,4.2788454431997916e-05,0.00017343464614969395,I
ALA,0.0011306042264108177,4.436781119990538e-05,3.803889238335093e-05,0.03214285714285714,0.0008724352428677515,0.010714285714285714,0.02142857142857143,0.3048188463372001,0.006401825439094043,0.0010094550160942254,0.9235810610671397,23.535185145164935,20.7954707290623,1.687702395518033e-09,4.3006932496602825e-08,5.016243485921024e-08,6.328918816554454e-06,0.0010925653340274667,0.0011749720376107232,8.240670358325631e-05,0.0011686431187941688,4.0960318084145436e-05,8.03538675509332e-05,I
