,Colony,Day,Degree Assortativity Coefficient,Average Clustering,Nodes,Edges,Density,Diameter,Betweenness Centrality,Average Degree,Normalized Degree Average
42,2,02,0.028843323254913792,0.8276212672580863,131,6464,0.7591309453904874,2,0.0018672019737171516,98.68702290076335,120.53376842841325
43,2,03,0.01547570096368857,0.8206811932929315,131,6497,0.7630064591896653,2,0.0018371592310878653,99.19083969465649,121.14911718431327
44,2,04,0.036168660431373685,0.8056144581904453,131,6198,0.7278919553728714,2,0.0021093646870320036,94.62595419847328,115.57368451721928
45,2,05,0.02220950058198193,0.7807888712431754,131,5926,0.6959483264826777,3,0.0023588104894691096,90.47328244274809,110.50171901404346
46,2,06,-0.0012882521946747409,0.7857196803254914,131,5960,0.6999412800939518,2,0.002326036588418979,90.99236641221374,111.13571470194044
47,2,07,-0.009316317414879881,0.8221649338139214,131,6293,0.7390487375220199,3,0.002023788389845552,96.07633587786259,117.3451430569314
48,2,08,0.023934296997169844,0.8044595505379588,131,6078,0.7137991779213153,3,0.0022195214100060538,92.79389312977099,113.3360526775829
49,2,09,0.026575739049061388,0.8232085847287478,131,6375,0.7486788021139166,2,0.0019482263402021975,97.32824427480917,118.87419148068295
50,2,10,0.07087839144776668,0.7900635281878756,131,5679,0.6669406928948913,3,0.002582765479978332,86.70229007633588,105.89592681079192
51,2,11,0.0078663761062112,0.7739522029565132,131,5704,0.6698766881972988,3,0.0025609162126115793,87.08396946564885,106.36210011071616
52,2,12,0.06748717094050832,0.7449368915140734,111,3808,0.6237510237510238,3,0.003457836485359422,68.61261261261261,98.90106322538755
53,2,13,0.07677248067515835,0.7556894080645541,111,3929,0.6435708435708436,3,0.0032745005222069427,70.7927927927928,102.04366528690853
54,2,14,0.03521851179078941,0.7606957188245571,111,3930,0.6437346437346437,3,0.003269992260817949,70.8108108108108,102.06963720477235
55,2,15,0.10431117009470528,0.7827221967500392,111,3972,0.6506142506142506,3,0.0032234068931316653,71.56756756756756,103.16045775505235
56,2,16,0.15852403493413042,0.8068978868489826,111,4041,0.6619164619164619,3,0.0031197168811847712,72.8108108108108,104.95252008765523
57,2,17,0.148108137164692,0.7892208956702185,111,3921,0.6422604422604422,3,0.003298544582948251,70.64864864864865,101.83588994399805
58,2,18,0.07360700553793377,0.7696749134271441,111,3825,0.6265356265356266,3,0.0034623447467484166,68.91891891891892,99.3425858290723
59,2,19,0.15206339651488707,0.7651150162315966,111,3743,0.6131040131040131,3,0.0035555154821209863,67.44144144144144,97.21288856423992
